Power_On_Hours,Total_TBW_TB,Total_TBR_TB,Temperature_C,Percent_Life_Used,Media_Errors,Unsafe_Shutdowns,CRC_Errors,Read_Error_Rate,Failure_Mode,Failure_Flag
1117,41.93,580.09,43.65,55.47,4,12,2,3,3,1
20911,1321.13,1963.24,53.94,53.36,9,5,3,16,5,1
28762,1518.2,2063.84,76.37,115.5,13,4,3,17,5,1
20354,2236.85,2094.38,56.58,120.81,16,1,2,24,5,1
21957,1055.04,1008.39,89.56,55.87,3,2,2,1,2,1
11903,1701.41,1173.03,63.3,74.37,2,2,20,3,4,1
751,842.54,824.03,53.31,20.91,0,5,22,2,4,1
11103,1780.87,397.97,49.79,69.42,1,2,19,2,4,1
34798,884.02,4396.27,47.76,126.47,1,4,0,1,1,1
10759,2453.42,3256.44,57.36,83.37,3,4,0,4,1,1
4239,1591.27,801.79,47.48,87.47,0,4,16,3,4,1
6218,208.35,300.91,62.97,28.01,1,2,27,5,4,1
1793,844.75,1456.38,52.74,89.92,1,4,23,3,4,1
31257,4078.42,3630.75,73.51,111.28,3,1,2,2,1,1
14722,607.29,925.15,91.25,79.35,1,3,2,0,2,1
7651,508.18,1407.06,92.38,97.51,0,1,0,1,2,1
4220,1716.38,2708.69,67.41,129.6,11,3,6,20,5,1
17306,769.28,313.32,64.82,46.52,1,2,25,5,4,1
10351,692.46,223.09,50.85,75.37,0,0,0,0,0,0
49388,3938.26,4272.64,59.97,135.59,2,2,2,2,1,1
12802,2287.36,1939.16,35.7,65.94,17,2,1,17,5,1
197,365.9,336.22,26.63,50.2,2,12,1,4,3,1
9333,1575.85,2311.8,72.06,82.82,15,5,3,22,5,1
23630,2921.15,2961.04,74.13,125.33,10,7,2,22,5,1
13786,557.78,49.06,25.43,9.54,0,1,0,0,0,0
10535,1736.97,1769.95,87.26,73.08,3,0,2,1,2,1
15687,1574.7,1874.75,67.93,79.52,16,4,1,21,5,1
14821,1496.57,1723.79,65.71,135.44,7,4,3,32,5,1
26439,1468.19,2342.36,35.43,136.19,17,3,2,18,5,1
7482,206.95,145.0,52.48,9.79,2,9,0,4,3,1
15015,186.19,1679.56,75.03,57.72,3,1,1,1,2,1
29401,2118.8,1174.91,47.7,80.79,2,2,3,2,1,1
25192,4331.55,3665.5,40.48,143.83,2,3,2,1,1,1
16497,3121.09,275.7,63.0,78.38,13,4,4,24,5,1
35973,1193.64,3645.64,74.7,117.18,4,1,1,1,1,1
7642,262.07,686.47,54.93,89.98,0,1,22,4,4,1
11584,2087.97,392.57,98.83,114.39,4,2,4,2,2,1
4121,627.42,595.36,36.97,4.38,0,0,0,0,0,0
10575,1468.6,1390.69,64.19,87.55,1,0,23,6,4,1
11661,40.44,798.74,43.0,56.87,0,0,0,0,0,0
1039,262.0,431.84,36.42,17.09,6,10,2,1,3,1
28434,377.27,2265.74,56.5,34.89,12,4,3,15,5,1
19084,3065.24,1341.13,62.15,115.12,6,0,0,3,1,1
16982,817.69,1902.9,88.95,69.72,2,0,0,0,2,1
4139,159.4,963.85,28.24,38.28,0,0,0,0,0,0
10242,364.79,353.99,51.38,65.81,1,6,17,7,4,1
26481,3439.64,2215.15,43.38,72.58,11,6,1,21,5,1
13815,401.41,513.23,25.72,25.04,0,1,0,0,0,0
22350,1542.47,394.94,95.46,103.33,1,3,0,0,2,1
8344,966.71,556.98,40.61,11.43,0,1,0,0,0,0
15268,1982.41,1984.32,79.23,46.06,2,2,1,0,2,1
1526,606.69,384.81,40.27,73.97,6,12,2,3,3,1
3964,1768.05,747.73,98.51,42.14,0,7,1,1,2,1
14335,1579.59,831.15,58.8,64.99,2,3,19,4,4,1
12505,609.32,485.43,63.88,52.96,1,4,21,3,4,1
19087,1034.56,1734.6,42.08,52.39,2,3,21,5,4,1
37535,4965.87,813.02,57.19,86.4,2,4,2,5,1,1
3033,434.94,126.69,49.89,18.32,3,3,0,4,3,1
6901,1162.7,691.15,50.11,69.35,0,1,0,0,0,0
15892,1057.2,1092.29,82.09,78.68,1,3,0,0,2,1
18617,2301.83,2937.16,56.7,134.45,14,4,1,10,5,1
28394,2266.07,927.9,72.52,106.12,20,2,3,13,5,1
28883,2190.21,900.7,36.53,41.51,20,6,2,18,5,1
4148,1989.07,1681.56,50.32,91.74,0,4,20,6,4,1
41736,4647.83,4143.01,47.9,118.29,5,2,0,0,1,1
3838,1862.3,867.02,25.55,62.46,4,5,23,5,4,1
13575,622.27,1022.54,74.79,108.9,22,4,2,22,5,1
801,462.47,120.15,61.71,79.33,4,11,2,6,3,1
11320,232.91,1505.49,97.43,53.28,2,1,0,1,2,1
5982,624.39,459.03,34.63,59.57,3,3,2,1,3,1
18596,2796.37,1228.86,46.29,127.18,13,7,0,31,5,1
4084,464.66,469.7,65.12,56.81,1,2,25,2,4,1
24551,4402.34,3393.18,74.66,85.51,1,2,0,0,1,1
1291,662.82,408.71,40.59,79.72,0,0,0,0,0,0
4896,560.32,941.56,39.59,37.01,0,2,0,0,0,0
21092,1185.77,935.25,99.16,97.81,4,2,0,4,2,1
14608,169.67,1680.47,54.62,46.82,2,3,14,7,4,1
6883,2207.91,2430.69,61.13,42.9,18,5,1,15,5,1
14389,25.47,94.65,31.24,2.12,0,0,0,0,0,0
9912,2780.6,1331.9,40.45,60.97,13,2,2,24,5,1
14151,666.8,249.42,37.78,77.42,0,1,0,0,0,0
9745,1068.02,1591.1,77.8,81.29,3,3,0,0,2,1
20312,414.83,394.09,90.16,105.34,1,0,0,0,2,1
5698,663.77,234.25,64.99,8.05,6,7,0,3,3,1
44154,3133.05,4402.52,68.64,137.54,1,3,1,1,1,1
12857,1276.93,972.05,88.34,54.77,2,1,3,2,2,1
14992,840.38,91.41,37.55,44.74,0,0,0,0,0,0
18529,702.45,225.38,96.35,87.12,1,3,1,1,2,1
2950,1573.88,1174.12,79.28,63.58,2,2,1,2,2,1
5905,286.4,898.51,50.88,40.73,0,0,0,0,0,0
17704,1387.68,849.31,48.26,104.08,1,2,21,4,4,1
22013,707.39,788.31,93.77,105.28,2,1,1,1,2,1
19414,1164.87,2939.89,35.58,73.8,21,6,0,22,5,1
15040,436.95,61.58,50.79,16.79,2,6,17,8,4,1
7814,1035.59,482.34,54.84,54.33,0,0,0,0,0,0
23485,675.25,1018.11,94.33,58.43,2,3,0,1,2,1
17711,1518.65,370.81,84.26,65.97,1,2,0,1,2,1
10269,1624.58,962.98,66.94,56.05,0,1,22,3,4,1
14647,2764.54,2845.42,53.48,88.86,5,1,3,5,1,1
26955,4005.67,4041.13,58.92,127.12,4,2,1,2,1,1
22398,530.32,1989.23,76.16,93.52,13,1,0,17,5,1
28601,1851.52,253.84,61.62,97.64,18,6,4,26,5,1
16980,3027.68,2365.64,66.52,134.24,6,1,0,1,1,1
17531,1097.1,1698.07,91.0,67.65,0,7,0,3,2,1
18295,1960.17,1888.53,96.3,69.01,4,3,1,1,2,1
49329,3308.46,4450.39,61.99,145.03,2,1,1,3,1,1
4109,172.98,1612.44,66.79,92.71,0,0,16,4,4,1
45135,3307.57,3467.19,51.88,121.34,3,0,1,0,1,1
3110,1215.08,1465.94,65.28,29.11,4,3,15,6,4,1
23120,529.08,1090.52,92.42,58.41,4,1,0,2,2,1
1547,387.17,440.25,48.22,48.15,0,1,0,0,0,0
6405,1028.8,363.2,47.72,23.61,0,0,0,0,0,0
22122,2459.85,748.62,71.62,39.81,11,2,2,20,5,1
7090,754.95,533.91,31.8,24.29,4,5,2,2,3,1
9532,1551.99,1020.68,93.1,80.93,2,0,2,1,2,1
28442,1844.81,3169.64,60.55,146.25,5,1,2,1,1,1
7713,1942.54,1496.33,66.44,110.3,18,2,1,19,5,1
33345,1945.86,1217.65,41.82,96.87,2,2,0,0,1,1
19747,676.43,908.44,55.51,96.68,3,2,18,5,4,1
5114,710.93,939.28,35.5,19.5,0,1,0,0,0,0
5540,191.07,1712.02,59.58,41.95,1,6,16,5,4,1
10343,1216.22,364.28,54.08,38.37,0,5,21,8,4,1
16875,2297.4,438.2,89.47,53.18,2,3,0,2,2,1
20491,906.46,524.32,77.38,48.13,10,3,1,15,5,1
4271,99.08,248.57,60.84,67.65,3,8,1,3,3,1
3159,202.8,497.43,40.12,84.34,8,8,4,4,3,1
35122,1638.0,2348.68,62.35,94.86,6,1,3,1,1,1
16629,3508.32,3226.74,63.77,87.65,2,1,0,2,1,1
7612,148.94,338.88,44.89,59.3,3,6,1,2,3,1
18731,616.87,842.56,61.69,93.52,2,1,24,1,4,1
7185,620.9,199.26,29.25,84.38,3,5,4,1,3,1
30579,817.35,2251.07,64.05,123.58,3,0,0,2,1,1
2190,498.6,99.56,53.93,25.83,2,8,2,1,3,1
2884,475.44,587.27,62.15,84.82,4,13,2,2,3,1
14774,974.42,380.56,31.94,58.79,0,0,0,0,0,0
3658,272.33,887.32,53.03,73.31,0,1,0,0,0,0
11352,1047.04,805.64,30.6,71.4,0,0,0,0,0,0
18457,1617.27,840.45,81.07,102.7,1,3,2,0,2,1
28812,2870.08,3069.81,46.41,80.62,2,2,0,1,1,1
7094,395.4,255.89,48.91,59.46,5,8,3,4,3,1
21776,1323.86,1722.09,86.49,58.98,0,2,0,1,2,1
10074,852.04,642.17,51.57,91.13,2,1,19,7,4,1
33941,4045.54,2186.66,52.62,116.45,0,1,0,2,1,1
17764,1845.8,991.67,89.13,42.09,3,2,1,0,2,1
6350,548.94,275.42,32.56,28.99,4,8,1,3,3,1
8561,569.07,565.35,29.28,44.54,0,0,0,0,0,0
26409,1184.45,1613.03,59.3,111.62,0,5,1,3,1,1
11243,1401.1,685.86,86.28,64.87,2,2,1,1,2,1
21144,3890.95,2689.08,71.52,131.18,5,2,2,2,1,1
10738,806.6,223.97,42.73,73.06,0,3,0,0,0,0
19823,1539.19,425.1,76.49,116.61,0,2,3,2,2,1
7029,16.32,334.79,44.81,58.43,0,0,0,0,0,0
6680,840.22,127.91,39.61,27.86,0,3,17,10,4,1
652,69.7,1384.96,60.51,65.82,2,0,17,8,4,1
13349,1065.51,206.37,47.46,22.58,0,1,0,0,0,0
3421,387.22,218.03,43.79,24.98,7,9,1,3,3,1
3144,131.25,420.62,50.7,57.75,0,1,0,0,0,0
1476,706.83,933.18,65.18,17.08,1,6,26,5,4,1
23020,1876.42,949.06,91.48,107.16,0,5,0,0,2,1
13306,2733.95,3173.29,67.14,140.94,3,2,1,1,1,1
6395,130.23,53.82,55.09,30.49,5,3,0,2,3,1
508,779.44,253.75,49.26,66.42,9,7,3,4,3,1
6622,965.24,974.99,91.86,102.59,1,6,0,0,2,1
13197,3325.31,701.0,58.96,135.77,5,0,2,3,1,1
31425,1971.13,1064.6,49.55,125.3,2,1,1,1,1,1
7776,950.09,889.58,79.66,112.52,1,4,2,0,2,1
24805,2253.21,714.27,46.82,90.79,14,4,2,18,5,1
49970,4965.37,1959.8,44.53,90.11,2,1,0,4,1,1
12520,1631.44,1924.88,89.36,47.68,1,1,0,0,2,1
10431,1848.41,4235.82,72.46,94.04,5,2,1,1,1,1
965,228.7,335.1,39.62,1.98,0,0,0,0,0,0
14062,2087.24,428.34,91.74,105.37,2,1,2,1,2,1
3046,1950.94,545.42,63.32,99.91,1,5,21,8,4,1
11025,519.55,1457.65,36.92,113.64,15,4,3,21,5,1
2604,648.07,454.66,38.2,7.29,0,1,0,0,0,0
29996,1999.06,1251.8,72.48,143.92,1,1,0,1,1,1
11128,2033.11,1608.34,77.03,60.59,2,2,0,0,2,1
18747,2332.09,2786.72,55.35,100.06,2,0,3,3,1,1
18741,353.57,239.95,78.7,103.39,0,1,1,0,2,1
2932,725.85,303.59,46.43,60.72,0,0,0,0,0,0
13706,1775.15,1234.95,90.72,86.52,3,0,2,1,2,1
11921,467.92,494.48,37.89,59.25,0,1,0,0,0,0
5558,139.75,200.9,57.72,5.28,10,18,2,4,3,1
591,481.6,292.68,48.87,79.44,3,7,2,3,3,1
6452,210.49,222.06,59.39,54.59,3,10,5,2,3,1
37235,2436.94,2613.78,40.38,135.27,3,2,0,0,1,1
37465,2480.61,2912.12,57.19,101.24,2,1,0,3,1,1
20890,474.53,611.81,61.22,47.39,24,1,5,13,5,1
19869,1771.71,612.34,79.25,111.15,1,2,2,0,2,1
22817,553.77,600.55,82.23,109.3,2,0,0,2,2,1
21083,1592.98,2470.44,59.72,60.17,18,5,5,18,5,1
12412,2709.08,2520.58,56.37,59.74,13,6,2,24,5,1
1760,798.91,49.36,54.12,68.48,7,8,3,2,3,1
7323,524.59,1619.49,47.41,102.39,1,4,20,7,4,1
3756,218.63,222.27,58.16,36.16,11,11,4,1,3,1
14394,540.62,280.89,54.91,34.09,0,0,0,0,0,0
21187,1231.93,2445.38,62.31,91.68,18,2,0,22,5,1
21714,4742.94,2266.59,67.1,112.93,3,2,2,2,1,1
6795,1439.8,1346.2,32.04,73.38,2,0,19,3,4,1
7115,562.07,681.27,49.62,6.38,8,9,0,5,3,1
15831,1584.99,517.11,40.13,86.93,2,4,17,4,4,1
5849,1341.78,825.85,50.96,103.5,0,1,19,5,4,1
16846,547.05,1617.36,69.1,25.86,0,9,17,9,4,1
5654,752.99,2571.0,47.07,56.25,14,5,2,25,5,1
40792,1319.51,3118.21,74.88,96.26,2,1,3,1,1,1
40558,2118.45,3202.56,46.57,146.62,3,1,2,1,1,1
121,548.26,647.14,40.79,58.53,0,0,0,0,0,0
28310,3632.92,2417.33,61.19,86.59,2,5,0,4,1,1
4267,814.43,81.39,48.41,11.42,2,2,20,7,4,1
12252,4915.51,2543.76,61.22,91.4,4,2,0,5,1,1
7388,777.63,1166.99,75.38,69.3,6,2,4,1,2,1
24415,1291.58,1156.05,76.0,103.53,18,5,1,18,5,1
17404,297.27,1623.46,41.19,27.03,0,3,16,6,4,1
15639,2860.75,2777.22,56.8,86.32,20,6,3,18,5,1
25980,2267.59,275.67,75.55,43.99,15,1,0,24,5,1
6843,187.85,263.44,35.49,77.96,6,10,1,5,3,1
15597,1884.15,1759.24,63.5,94.4,20,6,2,21,5,1
5371,172.93,347.61,30.63,65.7,0,1,0,0,0,0
6902,626.81,467.19,34.43,46.48,0,1,0,0,0,0
13256,30.74,736.56,27.21,50.33,0,1,0,0,0,0
16380,4709.52,1245.53,45.05,117.9,3,3,1,1,1,1
13364,1943.73,1320.66,90.1,76.29,1,2,0,1,2,1
49750,3079.83,3753.31,61.44,125.29,5,3,2,0,1,1
18304,2364.33,1484.44,89.17,56.47,2,1,2,0,2,1
43757,1483.42,871.19,59.34,112.76,2,3,3,2,1,1
20324,2064.59,244.03,89.35,95.7,0,1,4,1,2,1
13753,2159.52,3150.31,72.65,88.82,3,3,0,1,1,1
237,1112.64,497.2,32.75,36.73,0,1,0,0,0,0
37062,1182.31,3282.07,63.53,146.54,2,1,1,1,1,1
1022,2500.81,2863.25,50.23,137.08,17,5,3,23,5,1
4214,378.97,622.58,27.99,35.37,5,12,3,4,3,1
7820,1254.15,1146.23,75.46,99.01,2,2,1,3,2,1
49770,3421.56,3004.53,49.65,111.2,1,2,1,0,1,1
17147,2291.31,2029.25,55.04,86.44,0,3,1,1,1,1
6268,148.51,426.46,56.57,5.35,5,18,0,2,3,1
14130,3157.3,755.29,47.59,110.71,11,4,4,14,5,1
11931,937.04,461.83,27.0,34.69,0,2,19,12,4,1
168,186.74,419.83,39.5,21.08,0,0,0,0,0,0
13924,1485.92,1279.2,38.8,61.41,19,1,1,18,5,1
6074,638.3,262.41,36.4,64.91,3,10,2,0,3,1
3805,138.48,78.95,42.67,41.65,0,1,0,0,0,0
18633,1378.22,1554.82,46.76,95.4,8,2,0,4,1,1
20775,4372.6,899.02,52.44,142.98,1,3,2,0,1,1
22823,1535.59,4289.34,45.8,81.8,4,0,3,2,1,1
8220,1696.87,1333.61,99.12,50.67,0,0,1,0,2,1
11552,971.59,1449.78,84.81,87.07,3,1,2,1,2,1
10064,1421.61,1170.01,25.09,81.61,1,5,25,4,4,1
16324,1132.2,1244.6,63.31,62.73,2,1,21,4,4,1
8109,2321.68,740.84,85.89,100.15,1,4,3,0,2,1
7418,702.25,768.68,37.19,70.39,0,1,0,0,0,0
24194,563.46,1397.25,77.42,65.58,2,0,0,2,2,1
10492,533.18,2888.21,78.58,55.4,13,4,7,18,5,1
29998,1799.37,1271.76,68.03,134.02,16,2,4,26,5,1
36111,1184.27,1908.51,44.91,98.74,1,1,0,2,1,1
9012,1804.28,1468.95,32.01,26.02,2,2,16,4,4,1
18292,660.34,213.27,58.53,30.86,0,4,33,7,4,1
8431,1581.5,587.1,97.06,49.75,1,2,2,1,2,1
13475,37.89,435.87,51.25,24.12,0,0,0,0,0,0
17856,2775.72,1118.73,64.47,129.77,12,0,1,20,5,1
5656,285.03,991.46,78.77,43.63,7,5,1,13,5,1
8319,1134.3,802.24,28.4,53.86,0,3,11,2,4,1
4155,793.72,50.59,54.51,66.19,5,10,2,0,3,1
18657,913.7,417.28,29.86,33.31,2,2,22,5,4,1
6212,816.97,420.29,45.69,27.52,0,0,0,0,0,0
25408,2425.91,819.16,72.21,108.35,5,1,0,3,1,1
41596,4481.3,4375.55,62.52,136.49,8,1,4,2,1,1
10588,582.56,690.91,40.35,12.56,0,0,0,0,0,0
6623,549.83,211.86,35.39,42.99,4,10,3,1,3,1
14813,534.97,207.42,32.93,40.28,0,0,0,0,0,0
7586,741.61,434.65,95.91,104.91,1,4,0,0,2,1
38460,3616.92,2532.26,71.95,122.61,0,0,2,0,1,1
4251,707.95,530.82,47.78,57.01,0,0,0,0,0,0
9227,722.25,104.06,36.28,44.01,0,0,0,0,0,0
1422,564.26,1717.8,65.68,80.18,4,6,20,7,4,1
3289,259.62,1375.73,93.93,93.39,3,0,2,2,2,1
24717,169.31,1933.36,81.6,73.11,4,2,1,3,2,1
17600,872.32,656.95,34.93,92.69,2,3,18,7,4,1
3759,454.37,206.43,30.2,63.22,4,10,2,3,3,1
5224,420.65,354.14,25.95,43.9,0,0,0,0,0,0
17650,494.92,194.42,91.03,82.65,3,3,0,1,2,1
8634,922.25,966.61,54.1,69.21,0,0,0,0,0,0
17099,1924.8,324.51,97.21,56.82,1,1,1,0,2,1
13246,12.5,720.4,49.89,3.24,0,1,0,0,0,0
20658,1314.46,133.65,82.01,52.67,0,1,0,2,2,1
6258,1636.07,396.3,75.16,114.31,1,3,0,0,2,1
9947,813.96,102.0,32.52,55.78,0,4,18,6,4,1
7603,507.09,421.86,25.3,60.99,6,14,3,4,3,1
6058,484.35,2519.95,59.37,89.62,17,2,1,17,5,1
2182,595.61,883.84,44.13,56.63,1,1,25,2,4,1
11729,315.3,304.08,61.94,42.61,3,1,25,8,4,1
2417,318.99,445.49,28.33,45.22,6,14,3,2,3,1
16836,1094.8,1142.2,50.35,49.03,0,4,19,6,4,1
17388,1905.4,1017.69,85.11,54.44,1,2,0,1,2,1
16453,3387.72,2060.99,45.52,108.8,18,2,2,16,5,1
27225,407.71,1881.98,37.36,126.33,14,5,2,16,5,1
10967,1062.96,113.93,38.97,27.31,0,4,18,4,4,1
2260,872.1,1771.27,56.4,81.7,12,6,0,26,5,1
22629,1628.62,1478.88,62.46,112.75,20,5,4,17,5,1
45757,1089.55,3382.76,40.85,120.58,2,4,0,3,1,1
1545,295.35,219.99,34.2,101.69,0,1,21,6,4,1
17275,94.96,1698.66,54.12,64.57,1,5,16,2,4,1
11598,812.48,145.63,54.85,42.18,0,0,0,0,0,0
19630,2531.87,1870.7,52.56,95.85,16,1,1,20,5,1
1704,998.44,965.38,28.73,58.47,0,1,0,0,0,0
12547,862.12,329.96,34.56,35.88,0,1,0,0,0,0
7221,265.4,104.75,37.66,22.22,5,10,1,6,3,1
17353,142.68,1796.01,40.8,35.51,2,4,21,5,4,1
12428,890.21,199.35,43.41,34.84,0,0,0,0,0,0
19789,654.33,731.81,77.29,108.26,1,1,0,2,2,1
21605,2890.62,4287.86,44.64,80.66,1,2,1,1,1,1
16066,1825.66,2279.75,56.57,132.1,4,3,1,3,1,1
6793,2187.46,219.51,80.07,88.84,2,1,2,2,2,1
14589,1770.84,2137.26,45.95,114.64,6,2,0,4,1,1
9860,924.21,365.91,41.45,94.06,1,2,15,5,4,1
4944,2417.04,1032.57,89.0,70.77,1,5,4,2,2,1
7442,564.39,246.33,45.7,45.25,0,0,0,0,0,0
13553,1031.82,126.3,48.57,53.88,0,0,0,0,0,0
19435,1287.76,892.11,58.65,71.06,16,2,2,19,5,1
23721,1647.35,239.9,91.95,92.76,6,1,0,0,2,1
3461,208.56,436.22,29.28,71.21,0,0,0,0,0,0
14027,147.57,394.74,26.12,73.41,0,2,0,0,0,0
17854,867.83,2729.92,58.48,112.06,8,1,4,21,5,1
8479,137.76,154.17,26.0,37.62,0,1,0,0,0,0
45922,2441.65,3660.7,65.21,125.57,3,2,0,2,1,1
12796,880.66,1600.75,96.81,77.18,1,1,1,1,2,1
4896,16.55,17.59,31.57,2.94,0,0,0,0,0,0
6993,335.72,595.8,39.66,9.6,1,8,1,2,3,1
29258,2709.25,2520.4,46.52,126.26,2,4,2,0,1,1
10124,1356.73,146.71,91.95,40.22,0,2,1,2,2,1
33579,4149.12,3453.14,46.11,96.57,3,2,1,2,1,1
22423,2510.65,1969.65,77.56,52.8,10,8,3,26,5,1
7520,350.67,254.99,44.36,52.08,0,1,0,0,0,0
14735,999.95,182.95,40.46,20.92,0,1,0,0,0,0
17738,736.09,1260.79,39.48,108.93,0,3,19,4,4,1
13915,2168.27,577.63,77.63,50.16,2,4,3,2,2,1
10121,1315.9,1654.77,69.66,97.11,21,3,3,24,5,1
27446,2054.51,2263.1,44.19,82.84,14,6,5,15,5,1
23446,2129.7,4355.86,68.36,80.99,4,2,1,2,1,1
10329,402.96,779.72,59.08,58.51,1,6,27,5,4,1
4739,163.44,668.23,37.29,34.76,5,8,1,3,3,1
2614,729.07,51.67,31.46,81.6,5,13,3,5,3,1
49486,2425.66,1135.83,52.56,89.01,3,0,0,0,1,1
21065,4278.76,3494.81,69.97,115.51,4,1,0,1,1,1
46288,1338.99,1266.91,43.92,127.64,2,2,2,0,1,1
12128,1591.06,703.8,31.19,102.06,0,1,27,6,4,1
48561,4550.78,1449.58,72.44,86.83,5,4,0,2,1,1
12912,1095.92,1616.69,37.85,101.73,1,1,20,8,4,1
1535,617.34,330.11,32.37,45.2,5,14,2,4,3,1
4655,872.64,441.69,43.9,27.25,0,0,0,0,0,0
5510,100.16,258.19,58.85,14.38,4,10,0,3,3,1
20518,1437.77,1704.13,78.52,109.11,0,3,1,1,2,1
10984,2487.3,4480.34,40.65,128.72,8,1,1,3,1,1
45655,942.22,1737.79,41.33,89.89,4,2,0,1,1,1
8269,216.28,1741.28,26.29,93.54,2,1,15,4,4,1
5838,523.85,473.59,47.15,79.61,6,12,2,3,3,1
45528,2429.05,3017.91,52.26,146.82,6,1,0,1,1,1
23007,3008.27,1738.98,60.82,81.92,1,1,0,1,1,1
9339,1984.25,215.18,50.12,67.28,0,6,17,2,4,1
6959,585.7,693.91,83.61,104.66,2,2,0,0,2,1
14741,877.93,2978.27,72.23,87.45,3,1,2,2,1,1
20958,1370.19,437.38,76.24,41.78,1,4,2,2,2,1
2025,902.47,909.15,47.76,47.77,0,1,0,0,0,0
6598,303.99,546.96,25.2,82.53,5,12,3,2,3,1
2382,512.31,295.05,52.6,43.93,5,8,3,4,3,1
11640,1869.34,1076.24,59.51,43.98,0,3,14,0,4,1
13052,2304.64,1321.02,88.55,91.02,1,1,1,1,2,1
9241,51.26,397.99,45.91,15.47,0,1,0,0,0,0
16846,4874.59,2985.41,40.43,85.05,2,5,1,5,1,1
11553,350.98,594.92,25.92,2.99,0,1,0,0,0,0
11108,1013.42,2825.53,55.07,66.33,15,2,0,16,5,1
11983,468.71,2392.98,47.74,44.61,29,6,3,28,5,1
3545,225.47,399.86,61.04,10.94,5,15,1,2,3,1
7999,2677.32,2803.58,58.72,58.62,16,4,1,23,5,1
7295,548.25,52.74,34.29,25.61,0,1,0,0,0,0
5366,573.14,324.02,64.25,88.18,4,11,3,2,3,1
9172,1102.97,2726.93,68.53,101.95,8,4,7,21,5,1
19070,1361.81,1411.34,70.94,141.02,0,5,1,4,1,1
12676,764.46,370.51,50.57,60.52,0,1,0,0,0,0
7735,1977.65,551.68,82.03,110.46,2,0,1,0,2,1
5853,433.24,114.63,75.68,111.36,0,3,0,0,2,1
45826,1930.78,3148.81,50.18,121.07,2,0,1,0,1,1
14435,1423.3,2926.04,75.51,86.67,13,5,4,20,5,1
18442,3999.08,2659.14,57.87,125.25,2,1,0,5,1,1
35745,1975.64,1587.65,42.52,148.06,2,1,0,1,1,1
13368,2234.74,584.08,76.92,90.45,1,0,3,3,2,1
3704,1899.42,1419.17,95.36,100.52,1,4,1,1,2,1
17276,1174.12,1461.21,85.53,40.13,1,3,0,1,2,1
21416,635.56,283.2,98.72,65.03,0,2,0,4,2,1
22150,4041.91,4214.04,74.51,132.15,3,0,3,1,1,1
2706,719.9,415.13,52.03,52.32,3,12,1,4,3,1
9142,1043.99,381.92,33.91,51.93,0,0,0,0,0,0
16925,1025.3,430.5,31.2,87.95,1,5,20,8,4,1
36363,3114.87,3133.27,41.22,147.27,6,0,0,3,1,1
8225,1229.82,545.26,33.48,22.02,0,4,21,1,4,1
7815,183.67,83.5,54.15,55.6,0,1,17,7,4,1
1481,574.89,1158.23,67.84,28.19,2,5,20,8,4,1
1118,694.48,416.05,33.72,23.47,5,15,2,3,3,1
1069,3428.93,2526.26,48.9,101.78,17,6,1,21,5,1
36274,1755.96,4450.52,59.6,128.69,1,1,0,1,1,1
14104,872.5,510.3,45.4,16.23,0,2,0,0,0,0
